index,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
320,Final Destination 3,MOVIE,2006,R,93,5.8,139797
321,Thir13en Ghosts,MOVIE,2001,R,91,5.6,86492
322,The One,MOVIE,2001,PG-13,87,5.9,91584
323,Happy Feet,MOVIE,2006,PG,108,6.4,182612
324,Ip Man,MOVIE,2008,R,108,8,221095
325,Coach Carter,MOVIE,2005,PG-13,130,7.3,143670
326,Blade: Trinity,MOVIE,2004,R,106,5.8,175210
327,Monster-in-Law,MOVIE,2005,PG-13,101,5.5,60693
328,Halloween,MOVIE,2007,R,109,6,118815
329,How Do You Know,MOVIE,2010,PG-13,121,5.4,49599
330,The Sweetest Thing,MOVIE,2002,R,84,5.1,58516
331,The Final Destination,MOVIE,2009,R,82,5.1,104166
332,The Other Boleyn Girl,MOVIE,2008,PG-13,115,6.7,111694
333,Friday the 13th,MOVIE,2009,R,97,5.5,105938
334,The Bucket List,MOVIE,2007,PG-13,97,7.4,242733
335,Freddy vs. Jason,MOVIE,2003,R,97,5.7,117986
336,Transformers: Prime,SHOW,2010,TV-Y7,22,7.9,6500
337,Memoirs of a Geisha,MOVIE,2005,PG-13,145,7.3,146847
338,A Nightmare on Elm Street,MOVIE,2010,R,95,5.2,99192
339,Body of Lies,MOVIE,2008,R,128,7.1,224896
340,A Cinderella Story,MOVIE,2004,PG,95,5.9,86395
341,The Mole,SHOW,2001,TV-14,52,7.6,1104
342,Osmosis Jones,MOVIE,2001,PG,95,6.3,35711
343,Scary Movie 4,MOVIE,2006,PG-13,83,5.1,120188
344,The Texas Chainsaw Massacre,MOVIE,2003,R,98,6.2,140741
345,Fun with Dick and Jane,MOVIE,2005,PG-13,90,6.1,143998
346,TMNT,MOVIE,2007,PG,87,6.2,64062
347,Due Date,MOVIE,2010,R,95,6.5,339626
348,Cop Out,MOVIE,2010,R,107,5.5,87673
349,The 4400,SHOW,2004,TV-14,44,7.3,44971
350,Still Game,SHOW,2002,TV-14,29,8.9,7539
351,3 Idiots,MOVIE,2009,PG-13,170,8.4,385782
352,Midnight Diner,SHOW,2009,TV-MA,27,8.6,2110
353,H2O: Just Add Water,SHOW,2006,TV-PG,25,7.2,14782
354,Black Butler,SHOW,2008,TV-MA,25,8.3,1856
355,Octonauts,SHOW,2010,TV-Y,15,7.6,1049
356,New York Minute,MOVIE,2004,PG,87,4.8,23307
357,Strawberry Shortcake,SHOW,2003,TV-Y,23,7,13
358,Total Drama Island,SHOW,2007,TV-PG,23,7.4,10523
359,Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,6.8,13034
360,Monster House,MOVIE,2006,PG,91,6.6,114942
361,Starsky & Hutch,MOVIE,2004,PG-13,101,6.1,145981
362,Tears of the Sun,MOVIE,2003,R,121,6.6,121066
363,Boys Over Flowers,SHOW,2009,TV-14,64,7.9,11579
364,Winx Club,SHOW,2004,TV-G,23,6.2,6700
365,The Cave,MOVIE,2005,PG-13,97,5.1,38445
366,Big Time Rush,SHOW,2009,TV-G,25,6.3,12046
367,The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,R,91,5.8,72366
368,I Am Sam,MOVIE,2001,PG-13,132,7.6,149082
369,The Spiderwick Chronicles,MOVIE,2008,PG,96,6.5,94628
370,Rumor Has It...,MOVIE,2005,PG-13,97,5.5,57894
371,Dead Set,SHOW,2008,TV-MA,141,7.6,19684
372,Toradora!,SHOW,2008,TV-14,30,8,14307
373,I Now Pronounce You Chuck & Larry,MOVIE,2007,PG-13,115,5.9,146625
374,World Trade Center,MOVIE,2006,PG-13,129,6,83129
375,Premonition,MOVIE,2007,PG-13,96,5.9,78119
376,Shaun the Sheep,SHOW,2007,TV-G,7,8,25
377,Eagle Eye,MOVIE,2008,PG-13,118,6.6,185430
378,Lagaan: Once Upon a Time in India,MOVIE,2001,PG,224,8.1,111053
379,The Men Who Stare at Goats,MOVIE,2009,R,94,6.2,131564
380,Scare Tactics,SHOW,2003,TV-14,22,6.7,2512
381,Friends with Money,MOVIE,2006,R,88,5.8,30186
382,Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,2010,PG,100,6.9,82623
383,Kath & Kim,SHOW,2002,,24,8.3,4168
384,Good Luck Chuck,MOVIE,2007,,101,5.6,89755
385,Pocoyo,SHOW,2005,TV-G,11,3.9,93
386,Louis C.K.: Hilarious,MOVIE,2010,,84,8.4,11973
387,Death at a Funeral,MOVIE,2010,R,92,5.6,49599
388,Gifted Hands: The Ben Carson Story,MOVIE,2009,,86,7.6,10210
389,The Game,SHOW,2006,TV-14,22,6.6,4417
390,Angel Beats!,SHOW,2010,TV-14,26,7.7,13848
391,Blood and Bone,MOVIE,2009,R,93,6.7,33051
392,Ip Man 2,MOVIE,2010,R,108,7.5,103673
393,Masha and the Bear,SHOW,2009,TV-Y,6,7.6,3114
394,Like Stars on Earth,MOVIE,2007,PG,165,8.3,188234
395,Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,8.1,1740
396,The Legend of Bruce Lee,SHOW,2008,,45,7,1422
397,Ouran High School Host Club,SHOW,2006,TV-14,23,8.2,9763
398,Felon,MOVIE,2008,R,103,7.4,78039
399,The Ultimatum,SHOW,2009,TV-14,44,5.4,6
400,Mobile Suit Gundam Unicorn,SHOW,2010,TV-14,35,7.8,1291
401,Stuart Little 2,MOVIE,2002,G,78,5.5,53746
402,Johnny Test,SHOW,2005,TV-Y7,18,5.1,8172
403,Code Lyoko,SHOW,2003,TV-G,24,7.3,5109
404,Did You Hear About the Morgans?,MOVIE,2009,PG-13,103,4.9,40289
405,Iris,SHOW,2009,TV-14,61,7.8,1951
406,DreamWorks Shrek's Swamp Stories,SHOW,2010,TV-PG,24,6.5,330
407,Ben & Holly's Little Kingdom,SHOW,2009,TV-G,14,7.5,1222
408,The Garfield Show,SHOW,2009,TV-G,17,5.3,2499
409,Chaos,MOVIE,2005,R,106,6.4,54633
410,Wakfu,SHOW,2008,TV-Y7,22,8.1,1469
411,Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,2006,,46,7.6,1780
412,Initial D,MOVIE,2005,,107,6.3,8536
413,Comedian,MOVIE,2002,R,82,6.9,6948
414,Delta Farce,MOVIE,2007,PG-13,90,3.6,11138
415,One Piece: Strong World,MOVIE,2009,PG-13,114,7.5,5382
416,Christmas with the Kranks,MOVIE,2004,PG,99,5.4,49090
417,Dinosaur King,SHOW,2007,,21,5.6,720
418,Love Happens,MOVIE,2009,PG-13,109,5.6,32837
419,Vampire Knight,SHOW,2008,TV-14,25,7.3,5172
420,Den-noh Coil,SHOW,2007,TV-Y7,25,7.9,863
421,Zig and Sharko,SHOW,2010,,9,6.8,644
422,Even the Rain,MOVIE,2010,,104,7.4,13446
423,Kabhi Khushi Kabhie Gham,MOVIE,2001,G,210,7.4,48818
424,Naruto Shippuden the Movie,MOVIE,2007,PG-13,94,6.7,4016
425,Trailer Park Boys: The Movie,MOVIE,2006,R,95,7.1,12831
426,Jeff Dunham: Arguing with Myself,MOVIE,2006,PG-13,76,8,3984
427,From Within,MOVIE,2008,R,89,5.6,7585
428,Jodhaa Akbar,MOVIE,2008,PG-13,213,7.5,32188
429,And Then Came Lola,MOVIE,2009,PG,71,3.9,1683
430,One on One,SHOW,2001,TV-14,20,7,2303
431,Om Shanti Om,MOVIE,2007,PG,162,6.7,42597
432,Jab We Met,MOVIE,2007,PG-13,138,7.9,51945
433,The Cartel,SHOW,2008,TV-MA,44,8.1,755
434,Te quiero,MOVIE,2001,,85,4.8,73
435,Bon Cop Bad Cop,MOVIE,2006,PG-13,116,6.5,61
